Annee;Mois;Categorie;Montant
2024;dec;Impôts et taxes;211293316.0
2024;dec;Transports et déplacements;701705.0
2024;dec;Travaux, fournitures et services extérieurs;112011091.0
2025;janv;Dotations aux Amrt & Prov;93629.27134333456
2025;fev;Dotations aux Amrt & Prov;115640.69766225829
2025;mar;Dotations aux Amrt & Prov;636253.317976633
2025;avr;Dotations aux Amrt & Prov;392630.5169517121
2025;mai;Dotations aux Amrt & Prov;17539225.98782857
2025;juin;Dotations aux Amrt & Prov;31636490.108408183
2025;juill;Dotations aux Amrt & Prov;771671.2300217912
2025;aout;Dotations aux Amrt & Prov;10772123.863979086
2025;sep;Dotations aux Amrt & Prov;8139074.144581124
2025;oct;Dotations aux Amrt & Prov;29961330.858543694
2025;nov;Dotations aux Amrt & Prov;6130905.069511232
2025;dec;Dotations aux Amrt & Prov;13811024.933192383
2025;janv;Frais de personnel;48443463.51837492
2025;fev;Frais de personnel;52097598.6977932
2025;mar;Frais de personnel;45527961.8461525
2025;avr;Frais de personnel;83420296.08906251
2025;mai;Frais de personnel;70141204.51403637
2025;juin;Frais de personnel;29880168.562330227
2025;juill;Frais de personnel;58796018.23967947
2025;aout;Frais de personnel;46870043.99657056
2025;sep;Frais de personnel;4751743.140782032
2025;oct;Frais de personnel;50307314.86956876
2025;nov;Frais de personnel;49868071.84920444
2025;dec;Frais de personnel;198327196.676445
2025;janv;Frais divers de gestion;29500761.123914495
2025;fev;Frais divers de gestion;61021662.20856236
2025;mar;Frais divers de gestion;32383574.668961603
2025;avr;Frais divers de gestion;16328612.83769845
2025;mai;Frais divers de gestion;42808935.824621744
2025;juin;Frais divers de gestion;52271305.80781312
2025;juill;Frais divers de gestion;21414538.120339386
2025;aout;Frais divers de gestion;14778566.61667638
2025;sep;Frais divers de gestion;38764680.353117414
2025;oct;Frais divers de gestion;31979160.42418972
2025;nov;Frais divers de gestion;71778386.56896712
2025;dec;Frais divers de gestion;62735815.44513821
2025;janv;Impôts et taxes;5268646.311583224
2025;fev;Impôts et taxes;5662352.42912123
2025;mar;Impôts et taxes;4662680.152538822
